IdInstitucional;NOMBRE;DOMIC;Tur 4 a 7;TELEF;LOCALIDAD;CP;SECTOR;PROVINCIA;DISTRITO;UBICACION;e-mail EGB;Observaciones
1;CHAMPAGNAT;MONTEVIDEO 1050;M;4811-0814;CIUDAD DE BS AS;1019;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;champagnat@maristas.com.ar;Ver a Coord. De lengua Marcela Casaubon
2;DEL CARMEN;PARAGUAY 1766;M;812-0739;CIUDAD DE BS AS;1062;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
3;LA SALLE;AYACUCHO 665;M;4374-0657;CIUDAD DE BS AS;1025;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;biblioteca@delasalle.com.ar;
4;SAN MARON;PARAGUAY NRO.834;M;3117299;CIUDAD DE BS AS;1057;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;Guillermo Balmaceda, director
5;SANTA ROSA;BME.MITRE 1655;M;4372-2959;CIUDAD DE BS AS;1037;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;santarosae27@ciudad.com.ar;Ricardo Palomar Director amigo de Cristina Medina
6;CORAZON DE JESUS;AYACUCHO 474;JC;953-2801;CIUDAD DE BS AS;1026;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;colegio@corazondejesus-a28.edu.ar;
7;ARGENTINA MODELO;RIOBAMBA 1059\16\71;M;4811-2705;CIUDAD DE BS AS;1116;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;eam@eam.esc.edu.ar;
8;MALLINCKRODT;JUNCAL 1160;M;4811-2962;CIUDAD DE BS AS;1062;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;administracion@mallinckrodt.esc.edu.ar;
9;PAULA MONTAL;VIAMONTE 1892;M;8135691;CIUDAD DE BS AS;1056;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;pmontal@hotmail.com;
10;ADORATRICES;PARAGUAY 1419;M;8121071;CIUDAD DE BS AS;1061;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
11;LA ANUNCIATA;ARENALES 2065;M;823-4948;CIUDAD DE BS AS;1124;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;colegio_la_anunciata@datamarkets.com.ar;
12;SANTA TERESA DE JESUS;SCALABRINI ORTIZ 2999;M;8010374;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;09;CIUDAD DE BS AS;primaria@stateresa.com.ar;
13;CONSTANZA RAMOS MEJIA;PARAGUAY 1252;M;816-1549;CIUDAD DE BS AS;1057;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
14;NUESTRA SEÑORA DE LA MISERICORDIA;AZCUENAGA 1630;M;805-5478;CIUDAD DE BS AS;1128;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;misericordia@fibertel.com.ar;
15;SAN AGUSTIN;AGUERO 2320;M;802-4724;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;secreegb@sanagustin.esc.edu.ar;
16;CANGALLO;JUAN DOMINGO PERON 2169;MT;4953-0626;CIUDAD DE BS AS;1040;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;medio@escuelacangallo.edu.ar;
17;MARIA BIANCHI DE COPELLO;PACHECO DE MELO 2455;M;8069135;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
18;SAN PABLO;PACHECO DE MELO 2300;M;4805-8033;CIUDAD DE BS AS;1126;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
19;DE LA MERCED;VIAMONTE 318;MT;3125771;CIUDAD DE BS AS;1053;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;instdelamerced@uolsinectis.com.ar;
20;BAYARD;CASTEX NRO.3348;M;4803-0902/802;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;bay@bayard.esc.edu.ar;
21;NUESTRA SEÑORA DEL PILAR;VICENTE LOPEZ 1969;MT;807-3641;CIUDAD DE BS AS;1128;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;colegiodelpilar@cotelco.com.ar;
22;ESC. 76;EL GORRION Y ESTADOS UNIDOS;MT;0237-684568/4563;MORENO;1744;OFICIAL;BUENOS AIRES;MORENO;GBA OESTE;;
23;ESC. 68 LA TRADICION;MAGDALENA Y PERICLES;MT;0237-4818833;MORENO;1744;OFICIAL;BUENOS AIRES;MORENO;GBA OESTE;;
24;TALPIOT;AZCUENAGA 736;M;9622390;CIUDAD DE BS AS;1029;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
26;LAS CUMBRES;GUIDO 1880;M;916-6029;CIUDAD DE BS AS;1010;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;primaria@lascumbres.edu.ar;
28;SAN LUIS GONZAGA;AYACUCHO 243;M;9538430;CIUDAD DE BS AS;1025;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;stellamarispombo@yahoo.com.ar;
30;ESC. 01  JUAN JOSE CASTELLI;AYACUCHO 1680;JC;803-9163;CIUDAD DE BS AS;1112;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
